gene,annotation,symbol
AT1G68450,VQ motif-containing protein(PDE337),PDE337
AT1G68460,isopentenyltransferase 1(IPT1),IPT1
AT1G68470,Exostosin family protein(AT1G68470),AT1G68470
AT1G68480,C2H2 and C2HC zinc fingers superfamily protein(JAG),JAG
AT1G68490,translocase subunit seca(AT1G68490),AT1G68490
AT1G68500,hypothetical protein(AT1G68500),AT1G68500
AT1G68510,LOB domain-containing protein 42(LBD42),LBD42
AT1G68520,B-box type zinc finger protein with CCT domain-containing protein(BBX14),BBX14
AT1G68526,hypothetical protein(AT1G68526),AT1G68526
AT1G68530,3-ketoacyl-CoA synthase 6(KCS6),KCS6
AT1G68540,NAD(P)-binding Rossmann-fold superfamily protein(TKPR2),TKPR2
AT1G68550,Integrase-type DNA-binding superfamily protein(CRF10),CRF10
AT1G68560,alpha-xylosidase 1(XYL1),XYL1
AT1G68570,Major facilitator superfamily protein(AT1G68570),AT1G68570
AT1G68580,Agenet and bromo-adjacent homology (BAH) domain-containing protein(AT1G68580),AT1G68580
AT1G68585,hypothetical protein(AT1G68585),AT1G68585
AT1G68590,Ribosomal protein PSRP-3/Ycf65(PSRP3/1),PSRP3/1
AT1G68600,aluminum activated malate transporter family protein(AT1G68600),AT1G68600
AT1G68610,PLANT CADMIUM RESISTANCE 11(PCR11),PCR11
AT1G68620,alpha/beta-Hydrolases superfamily protein(AT1G68620),AT1G68620
AT1G68640,bZIP transcription factor family protein(PAN),PAN
AT1G68650,Uncharacterized protein family (UPF0016)(AT1G68650),AT1G68650
AT1G68660,Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein(AT1G68660),AT1G68660
AT1G68670,myb-like transcription factor family protein(AT1G68670),AT1G68670
AT1G68680,SH3/FCH domain protein(AT1G68680),AT1G68680
AT1G68690,Protein kinase superfamily protein(PERK9),PERK9
AT1G68700,transmembrane protein(AT1G68700),AT1G68700
AT1G68710,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein(AT1G68710),AT1G68710
AT1G68720,tRNA arginine adenosine deaminase(TADA),TADA
AT1G68725,arabinogalactan protein 19(AGP19),AGP19
AT1G68730,Zim17-type zinc finger protein(AT1G68730),AT1G68730
AT1G68735,miscRNA(AT1G68735),AT1G68735
AT1G68740,EXS (ERD1/XPR1/SYG1) family protein(PHO1;H1),PHO1;H1
AT1G68750,phosphoenolpyruvate carboxylase 4(PPC4),PPC4
AT1G68760,nudix hydrolase 1(NUDX1),NUDX1
AT1G68765,Putative membrane lipoprotein(IDA),IDA
AT1G68780,RNI-like superfamily protein(AT1G68780),AT1G68780
AT1G68790,little nuclei3(LINC3),LINC3
AT1G68795,CLAVATA3/ESR-RELATED 12(CLE12),CLE12
AT1G68800,TCP domain protein 12(TCP12),TCP12
AT1G68810,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G68810),AT1G68810
AT1G68820,Transmembrane Fragile-X-F-associated protein(AT1G68820),AT1G68820
AT1G68825,ROTUNDIFOLIA like 15(RTFL15),RTFL15
AT1G68830,Serine/Threonine kinase domain protein(STN7),STN7
AT1G68840,related to ABI3/VP1 2(RAV2),RAV2
AT1G68845,hypothetical protein(AT1G68845),AT1G68845
AT1G68850,Peroxidase superfamily protein(AT1G68850),AT1G68850
AT1G68862,transmembrane protein(AT1G68862),AT1G68862
AT1G68870,SOB five-like 2(SOFL2),SOFL2
AT1G68872,ncRNA(AT1G68872),AT1G68872
AT1G68880,basic leucine-zipper 8(bZIP),bZIP
AT1G68890,2-oxoglutarate decarboxylase/hydro-lyase/magnesium ion-binding protein(PHYLLO),PHYLLO
AT1G68910,WPP domain-interacting protein 2(WIT2),WIT2
AT1G68920,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G68920),AT1G68920
AT1G68930,pentatricopeptide (PPR) repeat-containing protein(AT1G68930),AT1G68930
AT1G68935,hypothetical protein(AT1G68935),AT1G68935
AT1G68940,Armadillo/beta-catenin-like repeat family protein(AT1G68940),AT1G68940
AT1G68945,hypothetical protein(AT1G68945),AT1G68945
AT1G68980,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G68980),AT1G68980
AT1G68990,male gametophyte defective 3(MGP3),MGP3
AT1G69010,BES1-interacting Myc-like protein 2(BIM2),BIM2
AT1G69020,Prolyl oligopeptidase family protein(AT1G69020),AT1G69020
AT1G69030,BSD domain-containing protein(AT1G69030),AT1G69030
AT1G69040,ACT domain repeat 4(ACR4),ACR4
AT1G69050,hypothetical protein(AT1G69050),AT1G69050
AT1G69060,Chaperone DnaJ-domain superfamily protein(AT1G69060),AT1G69060
AT1G69070,nucleolar-like protein(AT1G69070),AT1G69070
AT1G69080,Adenine nucleotide alpha hydrolases-like superfamily protein(AT1G69080),AT1G69080
AT1G69120,K-box region and MADS-box transcription factor family protein(AP1),AP1
AT1G69140,miscRNA(AT1G69140),AT1G69140
AT1G69150,Cysteine/Histidine-rich C1 domain family protein(AT1G69150),AT1G69150
AT1G69160,suppressor(AT1G69160),AT1G69160
AT1G69170,Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein(AT1G69170),AT1G69170
AT1G69200,fructokinase-like protein(FLN2),FLN2
AT1G69210,Uncharacterized protein family UPF0090(AT1G69210),AT1G69210
AT1G69220,Protein kinase superfamily protein(SIK1),SIK1
AT1G69230,SPIRAL1-like2(SP1L2),SP1L2
AT1G69240,methyl esterase 15(MES15),MES15
AT1G69250,Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein(AT1G69250),AT1G69250
AT1G69252,ncRNA(AT1G69252),AT1G69252
AT1G69260,ABI five binding protein(AFP1),AFP1
AT1G69270,receptor-like protein kinase 1(RPK1),RPK1
AT1G69280,hypothetical protein(AT1G69280),AT1G69280
AT1G69290,Pentatricopeptide repeat (PPR) superfamily protein(AT1G69290),AT1G69290
AT1G69295,plasmodesmata callose-binding protein 4(PDCB4),PDCB4
AT1G69310,WRKY DNA-binding protein 57(WRKY57),WRKY57
AT1G69320,CLAVATA3/ESR-RELATED 10(CLE10),CLE10
AT1G69325,Remorin family protein(AT1G69325),AT1G69325
AT1G69330,RING/U-box superfamily protein(AT1G69330),AT1G69330
AT1G69340,appr-1-p processing enzyme family protein(AT1G69340),AT1G69340
AT1G69350,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G69350),AT1G69350
AT1G69360,"T-box transcription factor, putative (DUF863)(AT1G69360)",AT1G69360
AT1G69370,chorismate mutase 3(CM3),CM3
AT1G69380,sporulation protein (DUF155)(RRG),RRG
AT1G69390,homologue of bacterial MinE 1(MINE1),MINE1
AT1G69400,Transducin/WD40 repeat-like superfamily protein(AT1G69400),AT1G69400
AT1G69410,eukaryotic elongation factor 5A-3(ELF5A-3),ELF5A-3
AT1G69420,DHHC-type zinc finger family protein(AT1G69420),AT1G69420
AT1G69430,Son of sevenless protein(AT1G69430),AT1G69430
AT1G69440,Argonaute family protein(AGO7),AGO7
AT1G69450,Early-responsive to dehydration stress protein (ERD4)(AT1G69450),AT1G69450
AT1G69460,emp24/gp25L/p24 family/GOLD family protein(AT1G69460),AT1G69460
AT1G69480,EXS (ERD1/XPR1/SYG1) family protein(AT1G69480),AT1G69480
AT1G69485,Ribosomal L32p protein family(AT1G69485),AT1G69485
AT1G69490,"NAC-like, activated by AP3/PI(NAP)",NAP
AT1G69500,"cytochrome P450, family 704, subfamily B, polypeptide 1(CYP704B1)",CYP704B1
AT1G69510,cAMP-regulated phosphoprotein 19-related protein(AT1G69510),AT1G69510
AT1G69520,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G69520),AT1G69520
AT1G69523,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G69523),AT1G69523
AT1G69526,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G69526),AT1G69526
AT1G69530,expansin A1(EXPA1),EXPA1
AT1G69540,AGAMOUS-like 94(AGL94),AGL94
AT1G69550,disease resistance protein (TIR-NBS-LRR class)(AT1G69550),AT1G69550
AT1G69560,myb domain protein 105(MYB105),MYB105
AT1G69570,Dof-type zinc finger DNA-binding family protein(AT1G69570),AT1G69570
AT1G69580,Homeodomain-like superfamily protein(AT1G69580),AT1G69580
AT1G69587,ncRNA(AT1G69587),AT1G69587
AT1G69588,CLAVATA3/ESR-RELATED 45(CLE45),CLE45
AT1G69600,zinc finger homeodomain 1(ZFHD1),ZFHD1
AT1G69610,"zinc finger FYVE domain protein, putative (DUF1666)(AT1G69610)",AT1G69610
AT1G69620,ribosomal protein L34(RPL34),RPL34
AT1G69630,F-box/RNI-like superfamily protein(AT1G69630),AT1G69630
AT1G69640,sphingoid base hydroxylase 1(SBH1),SBH1
AT1G69670,cullin 3B(CUL3B),CUL3B
AT1G69680,"ran guanine nucleotide release factor, putative (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)(AT1G69680)",AT1G69680
AT1G69690,TCP family transcription factor(TCP15),TCP15
AT1G69700,HVA22 homologue C(HVA22C),HVA22C
AT1G69710,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein(AT1G69710),AT1G69710
AT1G69720,heme oxygenase 3(HO3),HO3
AT1G69730,Wall-associated kinase family protein(AT1G69730),AT1G69730
AT1G69740,Aldolase superfamily protein(HEMB1),HEMB1
AT1G69750,cytochrome c oxidase 19-2(COX19-2),COX19-2
AT1G69760,suppressor SRP40-like protein(AT1G69760),AT1G69760
AT1G69770,chromomethylase 3(CMT3),CMT3
AT1G69780,Homeobox-leucine zipper protein family(ATHB13),ATHB13
AT1G69790,Protein kinase superfamily protein(AT1G69790),AT1G69790
AT1G69800,Cystathionine beta-synthase (CBS) protein(AT1G69800),AT1G69800
AT1G69810,WRKY DNA-binding protein 36(WRKY36),WRKY36
AT1G69830,alpha-amylase-like 3(AMY3),AMY3
AT1G69840,SPFH/Band 7/PHB domain-containing membrane-associated protein family(AT1G69840),AT1G69840
AT1G69850,nitrate transporter 1:2(NRT1:2),NRT1:2
AT1G69870,nitrate transporter 1.7(NRT1.7),NRT1.7
AT1G69880,thioredoxin H-type 8(TH8),TH8
AT1G69890,actin cross-linking protein (DUF569)(AT1G69890),AT1G69890
AT1G69900,Actin cross-linking protein(AT1G69900),AT1G69900
AT1G69910,Protein kinase superfamily protein(AT1G69910),AT1G69910
AT1G69920,glutathione S-transferase TAU 12(GSTU12),GSTU12
AT1G69930,glutathione S-transferase TAU 11(GSTU11),GSTU11
AT1G69935,short hypocotyl in white light1(SHW1),SHW1
AT1G69950,hypothetical protein(AT1G69950),AT1G69950
AT1G69960,serine/threonine protein phosphatase 2A(PP2A),PP2A
AT1G69970,CLAVATA3/ESR-RELATED 26(CLE26),CLE26
AT1G69980,structural polyprotein(AT1G69980),AT1G69980
AT1G69990,Leucine-rich repeat protein kinase family protein(AT1G69990),AT1G69990
AT1G70000,myb-like transcription factor family protein(AT1G70000),AT1G70000
AT1G70010,hypothetical protein(AT1G70010),AT1G70010
AT1G70020,"transmembrane protein, putative (DUF1163)(AT1G70020)",AT1G70020
AT1G70030,Paired amphipathic helix (PAH2) superfamily protein(AT1G70030),AT1G70030
AT1G70060,SIN3-like 4(SNL4),SNL4
AT1G70070,DEAD/DEAH box helicase(EMB25),EMB25
AT1G70080,Terpenoid cyclases/Protein prenyltransferases superfamily protein(AT1G70080),AT1G70080
AT1G70090,glucosyl transferase family 8(LGT8),LGT8
AT1G70100,neurofilament heavy protein(AT1G70100),AT1G70100
AT1G70130,Concanavalin A-like lectin protein kinase family protein(AT1G70130),AT1G70130
AT1G70140,formin 8(FH8),FH8
AT1G70150,zinc ion binding protein(AT1G70150),AT1G70150
AT1G70160,zinc finger MYND domain protein(AT1G70160),AT1G70160
AT1G70170,matrix metalloproteinase(MMP),MMP
AT1G70180,Sterile alpha motif (SAM) domain-containing protein(AT1G70180),AT1G70180
AT1G70185,ncRNA(AT1G70185),AT1G70185
AT1G70190,ribosomal protein L7/L12 domain-containing protein(AT1G70190),AT1G70190
AT1G70200,RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G70200),AT1G70200
AT1G70210,CYCLIN D1;1(CYCD1;1),CYCD1;1
AT1G70220,"RNA-processing, Lsm domain-containing protein(AT1G70220)",AT1G70220
AT1G70230,TRICHOME BIREFRINGENCE-LIKE 27(TBL27),TBL27
AT1G70250,receptor serine/threonine kinase(AT1G70250),AT1G70250
AT1G70260,nodulin MtN21 /EamA-like transporter family protein(UMAMIT36),UMAMIT36
AT1G70270,transcription factor(AT1G70270),AT1G70270
AT1G70280,NHL domain-containing protein(AT1G70280),AT1G70280
AT1G70290,trehalose-6-phosphatase synthase S8(TPS8),TPS8
AT1G70300,K+ uptake permease 6(KUP6),KUP6
AT1G70310,spermidine synthase 2(SPDS2),SPDS2
AT1G70320,ubiquitin-protein ligase 2(UPL2),UPL2
AT1G70330,equilibrative nucleotide transporter 1(ENT1),ENT1
AT1G70340,dicer-like protein (DUF936)(AT1G70340),AT1G70340
AT1G70350,hypothetical protein(AT1G70350),AT1G70350
AT1G70360,F-box family protein(AT1G70360),AT1G70360
AT1G70370,polygalacturonase 2(PG2),PG2
AT1G70390,F-box and associated interaction domains-containing protein(AT1G70390),AT1G70390
AT1G70410,beta carbonic anhydrase 4(BCA4),BCA4
AT1G70420,"DNA ligase-like protein, putative (DUF1645)(AT1G70420)",AT1G70420
AT1G70430,Protein kinase superfamily protein(AT1G70430),AT1G70430
AT1G70440,similar to RCD one 3(SRO3),SRO3
AT1G70450,Protein kinase superfamily protein(AT1G70450),AT1G70450
AT1G70460,root hair specific 10(PERK13),PERK13
AT1G70470,transmembrane protein(AT1G70470),AT1G70470
AT1G70480,"OBP32pep, putative (DUF220)(AT1G70480)",AT1G70480
AT1G70490,Ras-related small GTP-binding family protein(ARFA1D),ARFA1D
AT1G70500,Pectin lyase-like superfamily protein(AT1G70500),AT1G70500
AT1G70505,transmembrane protein(AT1G70505),AT1G70505
AT1G70510,homeobox knotted-like protein(KNAT2),KNAT2
AT1G70518,ncRNA(AT1G70518),AT1G70518
AT1G70520,cysteine-rich RLK (RECEPTOR-like protein kinase) 2(CRK2),CRK2
AT1G70530,cysteine-rich RLK (RECEPTOR-like protein kinase) 3(CRK3),CRK3
AT1G70550,"NEP-interacting protein, putative (DUF239)(AT1G70550)",AT1G70550
AT1G70560,tryptophan aminotransferase of Arabidopsis 1(TAA1),TAA1
AT1G70570,anthranilate phosphoribosyltransferase(AT1G70570),AT1G70570
AT1G70580,alanine-2-oxoglutarate aminotransferase 2(AOAT2),AOAT2
AT1G70581,ncRNA(AT1G70581),AT1G70581
AT1G70590,F-box family protein(AT1G70590),AT1G70590
AT1G70600,Ribosomal protein L18e/L15 superfamily protein(AT1G70600),AT1G70600
AT1G70610,transporter associated with antigen processing protein 1(ABCB26),ABCB26
AT1G70620,cyclin-like protein(AT1G70620),AT1G70620
AT1G70630,Nucleotide-diphospho-sugar transferase family protein(AT1G70630),AT1G70630
AT1G70640,octicosapeptide/Phox/Bem1p (PB1) domain-containing protein(AT1G70640),AT1G70640
AT1G70650,Ran BP2/NZF zinc finger-like superfamily protein(AT1G70650),AT1G70650
AT1G70660,MMS ZWEI homologue 2(MMZ2),MMZ2
AT1G70670,Caleosin-related family protein(CLO4),CLO4
AT1G70680,Caleosin-related family protein(AT1G70680),AT1G70680
AT1G70690,Receptor-like protein kinase-related family protein(HWI1),HWI1
AT1G70700,TIFY domain/Divergent CCT motif family protein(TIFY7),TIFY7
AT1G70710,glycosyl hydrolase 9B1(GH9B1),GH9B1
AT1G70720,Plant invertase/pectin methylesterase inhibitor superfamily protein(AT1G70720),AT1G70720
AT1G70730,Phosphoglucomutase/phosphomannomutase family protein(PGM2),PGM2
AT1G70740,Protein kinase superfamily protein(AT1G70740),AT1G70740
AT1G70750,"myosin-binding protein (Protein of unknown function, DUF593)(AT1G70750)",AT1G70750
AT1G70760,inorganic carbon transport protein-like protein(NdhL),NdhL
AT1G70770,"transmembrane protein (Protein of unknown function DUF2359, transmembrane)(AT1G70770)",AT1G70770
AT1G70790,Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G70790),AT1G70790
AT1G70800,Calcium-dependent lipid-binding (CaLB domain) family protein(EHB1),EHB1
AT1G70810,Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G70810),AT1G70810
AT1G70820,"phosphoglucomutase, putative / glucose phosphomutase(AT1G70820)",AT1G70820
AT1G70830,MLP-like protein 28(MLP28),MLP28
AT1G70840,MLP-like protein 31(MLP31),MLP31
AT1G70850,MLP-like protein 34(MLP34),MLP34
AT1G70860,Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G70860),AT1G70860
AT1G70870,Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G70870),AT1G70870
AT1G70880,Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G70880),AT1G70880
AT1G70885,miscRNA(AT1G70885),AT1G70885
AT1G70890,MLP-like protein 43(MLP43),MLP43
AT1G70895,CLAVATA3/ESR-RELATED 17(CLE17),CLE17
AT1G70900,hypothetical protein(AT1G70900),AT1G70900
AT1G70910,RING/U-box superfamily protein(DEP),DEP
AT1G70920,homeobox-leucine zipper protein 18(HB18),HB18
AT1G70940,Auxin efflux carrier family protein(PIN3),PIN3
AT1G70950,TPX2 (targeting protein for Xklp2) protein family(AT1G70950),AT1G70950
AT1G70980,Class II aminoacyl-tRNA and biotin synthetases superfamily protein(SYNC3),SYNC3
AT1G70985,hydroxyproline-rich glycoprotein family protein(AT1G70985),AT1G70985
AT1G70990,proline-rich family protein(AT1G70990),AT1G70990
AT1G71000,Chaperone DnaJ-domain superfamily protein(AT1G71000),AT1G71000
AT1G71010,FORMS APLOID AND BINUCLEATE CELLS 1C(FAB1C),FAB1C
AT1G71015,plastid movement impaired protein(AT1G71015),AT1G71015
AT1G71020,ARM repeat superfamily protein(AT1G71020),AT1G71020
AT1G71030,MYB-like 2(MYBL2),MYBL2
AT1G71040,Cupredoxin superfamily protein(LPR2),LPR2
AT1G71050,Heavy metal transport/detoxification superfamily protein(HIPP20),HIPP20
AT1G71060,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G71060),AT1G71060
AT1G71070,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT1G71070)",AT1G71070
AT1G71080,RNA polymerase II transcription elongation factor(AT1G71080),AT1G71080
AT1G71090,Auxin efflux carrier family protein(AT1G71090),PILS2
AT1G71100,"Ribose 5-phosphate isomerase, type A protein(RSW10)",RSW10
AT1G71110,transmembrane protein(AT1G71110),AT1G71110
AT1G71120,GDSL-motif lipase/hydrolase 6(GLIP6),GLIP6
AT1G71130,Integrase-type DNA-binding superfamily protein(CRF8),CRF8
AT1G71140,MATE efflux family protein(AT1G71140),AT1G71140
AT1G71150,cyclin-D1-binding protein(AT1G71150),AT1G71150
AT1G71170,6-phosphogluconate dehydrogenase family protein(AT1G71170),AT1G71170
AT1G71180,6-phosphogluconate dehydrogenase family protein(AT1G71180),AT1G71180
AT1G71190,senescence associated gene 18(SAG18),SAG18
AT1G71200,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G71200),AT1G71200
AT1G71210,Pentatricopeptide repeat (PPR) superfamily protein(AT1G71210),AT1G71210
AT1G71220,EMS-MUTAGENIZED BRI1 SUPPRESSOR 1(EBS1),EBS1
AT1G71230,COP9-signalosome 5B(CSN5B),CSN5B
AT1G71240,"chromosome-partitioning protein, putative (DUF639)(AT1G71240)",AT1G71240
AT1G71250,GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G71250),AT1G71250
AT1G71260,WHIRLY 2(ATWHY2),ATWHY2
AT1G71270,Vps52 / Sac2 family(POK),POK
AT1G71280,DEA(D/H)-box RNA helicase family protein(AT1G71280),AT1G71280
AT1G71310,cobalt ion binding protein(RAD52-1),RAD52-1
AT1G71330,non-intrinsic ABC protein 5(NAP5),NAP5
AT1G71340,PLC-like phosphodiesterases superfamily protein(GDPD4),GDPD4
AT1G71350,eukaryotic translation initiation factor SUI1 family protein(AT1G71350),AT1G71350
AT1G71360,Galactose-binding protein(AT1G71360),AT1G71360
AT1G71370,DEA(D/H)-box RNA helicase family protein(AT1G71370),AT1G71370
AT1G71380,cellulase 3(CEL3),CEL3
AT1G71390,receptor like protein 11(RLP11),RLP11
AT1G71400,receptor like protein 12(RLP12),RLP12
AT1G71410,ARM repeat superfamily protein(AT1G71410),AT1G71410
AT1G71420,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G71420),AT1G71420
AT1G71430,hypothetical protein(AT1G71430),AT1G71430
AT1G71440,tubulin folding cofactor E / Pfifferling (PFI)(PFI),PFI
AT1G71450,Integrase-type DNA-binding superfamily protein(AT1G71450),AT1G71450
AT1G71460,Pentatricopeptide repeat (PPR-like) superfamily protein(AT1G71460),AT1G71460
AT1G71480,Nuclear transport factor 2 (NTF2) family protein(AT1G71480),AT1G71480
AT1G71490,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G71490),AT1G71490
AT1G71500,Rieske (2Fe-2S) domain-containing protein(AT1G71500),AT1G71500
AT1G71520,Integrase-type DNA-binding superfamily protein(AT1G71520),AT1G71520
AT1G71528,ncRNA(AT1G71528),AT1G71528
AT1G71690,glucuronoxylan 4-O-methyltransferase-like protein (DUF579)(AT1G71690),AT1G71690
AT1G71691,GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G71691),AT1G71691
AT1G71692,AGAMOUS-like 12(AGL12),AGL12
AT1G71695,Peroxidase superfamily protein(AT1G71695),AT1G71695
AT1G71696,carboxypeptidase D(SOL1),SOL1
AT1G71697,choline kinase 1(CK1),CK1
AT1G71710,DNAse I-like superfamily protein(AT1G71710),AT1G71710
AT1G71720,Nucleic acid-binding proteins superfamily(PDE338),PDE338
AT1G71730,hypothetical protein(AT1G71730),AT1G71730
AT1G71740,nucleolar protein(AT1G71740),AT1G71740
AT1G71750,Hypoxanthine-guanine phosphoribosyltransferase(HGPT),HGPT
AT1G71760,hypothetical protein(AT1G71760),AT1G71760
AT1G71770,poly(A)-binding protein 5(PAB5),PAB5
AT1G71780,WD repeat protein(AT1G71780),AT1G71780
AT1G71790,Subunits of heterodimeric actin filament capping protein Capz superfamily(CPB),CPB
AT1G71800,cleavage stimulating factor 64(CSTF64),CSTF64
AT1G71810,Protein kinase superfamily protein(AT1G71810),AT1G71810
AT1G71820,SEC6(SEC6),SEC6
AT1G71830,somatic embryogenesis receptor-like kinase 1(SERK1),SERK1
AT1G71840,transducin family protein / WD-40 repeat family protein(AT1G71840),AT1G71840
AT1G71850,Ubiquitin carboxyl-terminal hydrolase family protein(AT1G71850),AT1G71850
AT1G71860,protein tyrosine phosphatase 1(PTP1),PTP1
AT1G71865,PyrD(AT1G71865),AT1G71865
AT1G71866,EPIDERMAL PATTERNING FACTOR-like protein(AT1G71866),AT1G71866
AT1G71870,MATE efflux family protein(AT1G71870),AT1G71870
AT1G71880,sucrose-proton symporter 1(SUC1),SUC1
AT1G71890,Major facilitator superfamily protein(SUC5),SUC5
AT1G71900,"magnesium transporter, putative (DUF803)(AT1G71900)",AT1G71900
AT1G71910,hypothetical protein(AT1G71910),AT1G71910
AT1G71920,HISTIDINE BIOSYNTHESIS 6B(HISN6B),HISN6B
AT1G71930,vascular related NAC-domain protein 7(VND7),VND7
AT1G71940,SNARE associated Golgi protein family(AT1G71940),AT1G71940
AT1G71950,"Proteinase inhibitor, propeptide(AT1G71950)",AT1G71950
AT1G71960,ATP-binding casette family G25(ABCG25),ABCG25
AT1G71970,hypothetical protein(AT1G71970),AT1G71970
AT1G71980,Protease-associated (PA) RING/U-box zinc finger family protein(AT1G71980),AT1G71980
AT1G71990,fucosyltransferase 13(FUT13),FUT13
AT1G72000,Plant neutral invertase family protein(A/N-InvF),A/N-InvF
AT1G72010,TCP family transcription factor(AT1G72010),AT1G72010
AT1G72020,TonB-dependent heme receptor A(AT1G72020),AT1G72020
AT1G72030,Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT1G72030),AT1G72030
AT1G72040,P-loop containing nucleoside triphosphate hydrolases superfamily protein(dNK),dNK
AT1G72050,transcription factor IIIA(TFIIIA),TFIIIA
AT1G72070,Chaperone DnaJ-domain superfamily protein(AT1G72070),AT1G72070
AT1G72090,Methylthiotransferase(AT1G72090),AT1G72090
AT1G72100,late embryogenesis abundant domain-containing protein / LEA domain-containing protein(AT1G72100),AT1G72100
AT1G72120,Major facilitator superfamily protein(AT1G72120),AT1G72120
AT1G72125,Major facilitator superfamily protein(AT1G72125),AT1G72125
AT1G72130,Major facilitator superfamily protein(AT1G72130),AT1G72130
AT1G72140,Major facilitator superfamily protein(AT1G72140),AT1G72140
AT1G72150,PATELLIN 1(PATL1),PATL1
AT1G72160,Sec14p-like phosphatidylinositol transfer family protein(AT1G72160),AT1G72160
AT1G72170,"MICOS complex subunit, putative (DUF543)(AT1G72170)",AT1G72170
AT1G72175,E3 ubiquitin-protein ligase RNF170-like protein (DUF 1232)(AT1G72175),AT1G72175
AT1G72180,Leucine-rich receptor-like protein kinase family protein(AT1G72180),AT1G72180
AT1G72190,D-isomer specific 2-hydroxyacid dehydrogenase family protein(AT1G72190),AT1G72190
AT1G72200,RING/U-box superfamily protein(AT1G72200),AT1G72200
AT1G72210,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G72210),AT1G72210
AT1G72220,RING/U-box superfamily protein(AT1G72220),AT1G72220
AT1G72230,Cupredoxin superfamily protein(AT1G72230),AT1G72230
AT1G72240,hypothetical protein(AT1G72240),AT1G72240
AT1G72250,Di-glucose binding protein with Kinesin motor domain-containing protein(AT1G72250),AT1G72250
AT1G72260,thionin 2.1(THI2.1),THI2.1
AT1G72270,nucleolar pre-ribosomal-associated protein(AT1G72270),AT1G72270
AT1G72280,endoplasmic reticulum oxidoreductins 1(ERO1),ERO1
AT1G72300,Leucine-rich receptor-like protein kinase family protein(PSY1R),PSY1R
AT1G72310,RING/U-box superfamily protein(ATL3),ATL3
AT1G72320,pumilio 23(PUM23),PUM23
AT1G72330,alanine aminotransferase 2(ALAAT2),ALAAT2
AT1G72340,NagB/RpiA/CoA transferase-like superfamily protein(AT1G72340),AT1G72340
AT1G72360,Integrase-type DNA-binding superfamily protein(ERF73),ERF73
AT1G72370,40s ribosomal protein SA(P40),P40
AT1G72390,nuclear receptor coactivator(AT1G72390),AT1G72390
AT1G72410,COP1-interacting protein-like protein(AT1G72410),AT1G72410
AT1G72416,Chaperone DnaJ-domain superfamily protein(AT1G72416),AT1G72416
AT1G72420,NADH:ubiquinone oxidoreductase intermediate-associated protein 30(AT1G72420),AT1G72420
AT1G72430,SAUR-like auxin-responsive protein family(AT1G72430),AT1G72430
AT1G72440,CCAAT-binding factor(EDA25),EDA25
AT1G72450,jasmonate-zim-domain protein 6(JAZ6),JAZ6
AT1G72470,exocyst subunit exo70 family protein D1(EXO70D1),EXO70D1
AT1G72480,Lung seven transmembrane receptor family protein(AT1G72480),AT1G72480
AT1G72490,hypothetical protein(AT1G72490),AT1G72490
AT1G72500,"inter alpha-trypsin inhibitor, heavy chain-like protein(AT1G72500)",AT1G72500
AT1G72510,DUF1677 family protein (DUF1677)(AT1G72510),AT1G72510
AT1G72520,PLAT/LH2 domain-containing lipoxygenase family protein(LOX4),LOX4
AT1G72530,plastid developmental protein DAG(AT1G72530),AT1G72530
AT1G72540,Protein kinase superfamily protein(AT1G72540),AT1G72540
AT1G72550,tRNA synthetase beta subunit family protein(AT1G72550),AT1G72550
AT1G72560,ARM repeat superfamily protein(PSD),PSD
AT1G72570,Integrase-type DNA-binding superfamily protein(AT1G72570),AT1G72570
AT1G72590,3-oxo-5-alpha-steroid 4-dehydrogenase family protein(AT1G72590),AT1G72590
