"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT2G41905",0.17,0.1,"transmembrane protein(AT2G41905)","AT2G41905"
"AT2G43040",0.17,0.11,"tetratricopeptide repeat (TPR)-containing protein(NPG1)","NPG1"
"AT2G45950",0.17,0.11,"SKP1-like 20(SK20)","SK20"
"AT2G46915",0.17,0.11,"DUF3754 family protein, putative (DUF3754)(AT2G46915)","AT2G46915"
"AT2G47090",0.17,0.11,"zinc ion binding/nucleic acid binding protein(AT2G47090)","AT2G47090"
"AT2G47160",0.17,0.11,"HCO3- transporter family(BOR1)","BOR1"
"AT2G47680",0.17,0.12,"zinc finger (CCCH type) helicase family protein(AT2G47680)","AT2G47680"
"AT2G47810",0.17,0.11,"nuclear factor Y, subunit B5(NF-YB5)","NF-YB5"
"AT3G01180",0.17,0.11,"starch synthase 2(SS2)","SS2"
"AT3G02950",0.17,0.12,"Tho complex subunit 7/Mft1p(THO7)","THO7"
"AT3G03000",0.17,0.12,"EF hand calcium-binding protein family(AT3G03000)","AT3G03000"
"AT3G03860",0.17,0.11,"APR-like 5(APRL5)","APRL5"
"AT3G08870",0.17,0.1,"Concanavalin A-like lectin protein kinase family protein(AT3G08870)","AT3G08870"
"AT3G10760",0.17,0.11,"Homeodomain-like superfamily protein(AT3G10760)","AT3G10760"
"AT3G12020",0.17,0.12,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G12020)","AT3G12020"
"AT3G12100",0.17,0.11,"Cation efflux family protein(AT3G12100)","AT3G12100"
"AT3G13980",0.17,0.12,"SKI/DACH domain protein(AT3G13980)","AT3G13980"
"AT3G14560",0.17,0.11,"hypothetical protein(AT3G14560)","AT3G14560"
"AT3G14790",0.17,0.12,"rhamnose biosynthesis 3(RHM3)","RHM3"
"AT3G15470",0.17,0.11,"Transducin/WD40 repeat-like superfamily protein(AT3G15470)","AT3G15470"
"AT3G16170",0.17,0.12,"AMP-dependent synthetase and ligase family protein(AAE13)","AAE13"
"AT3G17185",0.17,0.12,"ncRNA(TAS3)","TAS3"
"AT3G18390",0.17,0.1,"CRS1 / YhbY (CRM) domain-containing protein(EMB1865)","EMB1865"
"AT3G18710",0.17,0.11,"plant U-box 29(PUB29)","PUB29"
"AT3G18980",0.17,0.11,"EIN2 targeting protein1(ETP1)","ETP1"
"AT3G19670",0.17,0.12,"pre-mRNA-processing protein 40B(PRP40B)","PRP40B"
"AT3G20170",0.17,0.12,"ARM repeat superfamily protein(AT3G20170)","AT3G20170"
"AT3G20790",0.17,0.11,"NAD(P)-binding Rossmann-fold superfamily protein(AT3G20790)","AT3G20790"
"AT3G21400",0.17,0.12,"dynein beta chain, ciliary protein(AT3G21400)","AT3G21400"
"AT3G22110",0.17,0.11,"20S proteasome alpha subunit C1(PAC1)","PAC1"
"AT3G22540",0.17,0.12,"hypothetical protein (DUF1677)(AT3G22540)","AT3G22540"
"AT3G22640",0.17,0.1,"cupin family protein(PAP85)","PAP85"
"AT3G23100",0.17,0.12,"DNA ligase IV-binding protein(XRCC4)","XRCC4"
"AT3G23490",0.17,0.11,"cyanase(CYN)","CYN"
"AT3G24120",0.17,0.12,"Homeodomain-like superfamily protein(AT3G24120)","AT3G24120"
"AT3G25560",0.17,0.12,"NSP-interacting kinase 2(NIK2)","NIK2"
"AT3G25720",0.17,0.11,"RNA-directed DNA polymerase (reverse transcriptase)-related family protein(AT3G25720)","AT3G25720"
"AT3G26932",0.17,0.11,"dsRNA-binding protein 3(DRB3)","DRB3"
"AT3G27400",0.17,0.12,"Pectin lyase-like superfamily protein(AT3G27400)","AT3G27400"
"AT3G43540",0.17,0.11,"initiation factor 4F subunit (DUF1350)(AT3G43540)","AT3G43540"
"AT3G44110",0.17,0.12,"DNAJ homologue 3(J3)","J3"
"AT3G45253",0.17,0.12,"hypothetical protein(AT3G45253)","AT3G45253"
"AT3G46130",0.17,0.12,"myb domain protein 48(MYB48)","MYB48"
"AT3G46610",0.17,0.1,"Pentatricopeptide repeat (PPR-like) superfamily protein(AT3G46610)","AT3G46610"
"AT3G46650",0.17,0.12,"UDP-Glycosyltransferase superfamily protein(AT3G46650)","AT3G46650"
"AT3G48600",0.17,0.11,"SWIB complex BAF60b domain-containing protein(AT3G48600)","AT3G48600"
"AT3G48940",0.17,0.12,"Remorin family protein(AT3G48940)","AT3G48940"
"AT3G50790",0.17,0.12,"esterase/lipase/thioesterase family protein(AT3G50790)","AT3G50790"
"AT3G51171",0.17,0.12,"F-box and associated interaction domains-containing protein(AT3G51171)","AT3G51171"
"AT3G51640",0.17,0.11,"stress response NST1-like protein(AT3G51640)","AT3G51640"
"AT3G51895",0.17,0.1,"sulfate transporter 3;1(SULTR3;1)","SULTR3;1"
"AT3G52230",0.17,0.11,"hypothetical protein(AT3G52230)","AT3G52230"
"AT3G52560",0.17,0.11,"ubiquitin E2 variant 1D-4(UEV1D-4)","UEV1D-4"
"AT3G52900",0.17,0.11,"RAB6-interacting golgin (DUF662)(AT3G52900)","AT3G52900"
"AT3G53890",0.17,0.11,"Ribosomal protein S21e(AT3G53890)","AT3G53890"
"AT3G55370",0.17,0.12,"OBF-binding protein 3(OBP3)","OBP3"
"AT3G55420",0.17,0.11,"hypothetical protein(AT3G55420)","AT3G55420"
"AT3G56120",0.17,0.11,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G56120)","AT3G56120"
"AT3G56630",0.17,0.12,"cytochrome P450, family 94, subfamily D, polypeptide 2(CYP94D2)","CYP94D2"
"AT3G57080",0.17,0.11,"Eukaryotic rpb5 RNA polymerase subunit family protein(NRPE5)","NRPE5"
"AT3G57710",0.17,0.12,"Protein kinase superfamily protein(AT3G57710)","AT3G57710"
"AT3G59400",0.17,0.12,"protein GENOMES UNCOUPLED 4(GUN4)","GUN4"
"AT3G60080",0.17,0.11,"RING/U-box superfamily protein(AT3G60080)","AT3G60080"
"AT3G60220",0.17,0.11,"TOXICOS EN LEVADURA 4(ATL4)","ATL4"
"AT3G60245",0.17,0.12,"Zinc-binding ribosomal protein family protein(AT3G60245)","AT3G60245"
"AT3G60680",0.17,0.11,"DUF641 family protein (DUF641)(AT3G60680)","AT3G60680"
"AT3G60940",0.17,0.12,"Putative endonuclease or glycosyl hydrolase(AT3G60940)","AT3G60940"
"AT3G62410",0.17,0.11,"CP12 domain-containing protein 2(CP12-2)","CP12-2"
"AT3G62475",0.17,0.12,"hypothetical protein(AT3G62475)","AT3G62475"
"AT4G00350",0.17,0.1,"MATE efflux family protein(AT4G00350)","AT4G00350"
"AT4G00770",0.17,0.11,"DUF4378 domain protein(TRM9)","TRM9"
"AT4G00850",0.17,0.1,"GRF1-interacting factor 3(GIF3)","GIF3"
"AT4G01070",0.17,0.11,"UDP-Glycosyltransferase superfamily protein(GT72B1)","GT72B1"
"AT4G01310",0.17,0.11,"Ribosomal L5P family protein(AT4G01310)","AT4G01310"
"AT4G01735",0.17,0.11,"polyhomeotic-like protein(AT4G01735)","AT4G01735"
"AT4G02210",0.17,0.11,"Myb/SANT-like DNA-binding domain protein(AT4G02210)","AT4G02210"
"AT4G03600",0.17,0.11,"pyrroline-5-carboxylate reductase(AT4G03600)","AT4G03600"
"AT4G04167",0.17,0.11,"hypothetical protein(AT4G04167)","AT4G04167"
"AT4G04350",0.17,0.12,"tRNA synthetase class I (I, L, M and V) family protein(EMB2369)","EMB2369"
"AT4G04610",0.17,0.11,"APS reductase 1(APR1)","AtAPR1"
"AT4G06652",0.17,0.11,"hypothetical protein(AT4G06652)","AT4G06652"
"AT4G08900",0.17,0.12,"arginase(ARGAH1)","ARGAH1"
"AT4G10170",0.17,0.12,"SNARE-like superfamily protein(AT4G10170)","AT4G10170"
"AT4G11010",0.17,0.11,"nucleoside diphosphate kinase 3(NDPK3)","NDPK3"
"AT4G11420",0.17,0.1,"eukaryotic translation initiation factor 3A(EIF3A)","EIF3A"
"AT4G11780",0.17,0.12,"GAR2-like protein(TRM10)","TRM10"
"AT4G11810",0.17,0.12,"Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein(AT4G11810)","AT4G11810"
"AT4G12390",0.17,0.1,"pectin methylesterase inhibitor 1(PME1)","PME1"
"AT4G14385",0.17,0.12,"histone acetyltransferase subunit NuA4-domain protein(AT4G14385)","AT4G14385"
"AT4G15000",0.17,0.11,"Ribosomal L27e protein family(AT4G15000)","AT4G15000"
"AT4G15480",0.17,0.11,"UDP-Glycosyltransferase superfamily protein(UGT84A1)","UGT84A1"
"AT4G19020",0.17,0.12,"chromomethylase 2(CMT2)","CMT2"
"AT4G19670",0.17,0.11,"RING/U-box superfamily protein(AT4G19670)","AT4G19670"
"AT4G19985",0.17,0.11,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT4G19985)","AT4G19985"
"AT4G20280",0.17,0.12,"TBP-associated factor 11(TAF11)","TAF11"
"AT4G20760",0.17,0.11,"NAD(P)-binding Rossmann-fold superfamily protein(AT4G20760)","AT4G20760"
"AT4G23200",0.17,0.11,"cysteine-rich RLK (RECEPTOR-like protein kinase) 12(CRK12)","CRK12"
"AT4G24590",0.17,0.12,"RING finger protein(AT4G24590)","AT4G24590"
"AT4G25570",0.17,0.1,"Cytochrome b561/ferric reductase transmembrane protein family(ACYB-2)","ACYB-2"
"AT4G25800",0.17,0.1,"Calmodulin-binding protein(AT4G25800)","AT4G25800"
"AT4G26230",0.17,0.1,"Ribosomal protein L31e family protein(AT4G26230)","AT4G26230"
"AT4G26700",0.17,0.11,"fimbrin 1(FIM1)","FIM1"
"AT4G26965",0.17,0.11,"NADH:ubiquinone oxidoreductase, 17.2kDa subunit(AT4G26965)","AT4G26965"
"AT4G27000",0.17,0.12,"RNA-binding (RRM/RBD/RNP motifs) family protein(ATRBP45C)","ATRBP45C"
"AT4G27410",0.17,0.12,"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(RD26)","RD26"
"AT4G27960",0.17,0.11,"ubiquitin conjugating enzyme 9(UBC9)","UBC9"
"AT4G30330",0.17,0.11,"Small nuclear ribonucleoprotein family protein(AT4G30330)","AT4G30330"
"AT4G30480",0.17,0.12,"Tetratricopeptide repeat (TPR)-like superfamily protein(TPR1)","TPR1"
"AT4G31350",0.17,0.12,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT4G31350)","AT4G31350"
"AT4G31360",0.17,0.11,"selenium binding protein(AT4G31360)","AT4G31360"
"AT4G31700",0.17,0.1,"ribosomal protein S6(RPS6)","RPS6"
"AT4G31890",0.17,0.11,"ARM repeat superfamily protein(AT4G31890)","AT4G31890"
"AT4G32780",0.17,0.1,"phosphoinositide binding protein(AT4G32780)","AT4G32780"
"AT4G34000",0.17,0.12,"abscisic acid responsive elements-binding factor 3(ABF3)","ABF3"
"AT4G34430",0.17,0.11,"DNA-binding family protein(CHB3)","CHB3"
"AT4G35010",0.17,0.11,"beta-galactosidase 11(BGAL11)","BGAL11"
"AT4G36820",0.17,0.12,"calcium uniporter (DUF607)(AT4G36820)","AT4G36820"
"AT4G37820",0.17,0.1,"transmembrane protein(AT4G37820)","AT4G37820"
"AT5G01590",0.17,0.1,"histone-lysine N-methyltransferase ATXR3-like protein(AT5G01590)","AT5G01590"
"AT5G01780",0.17,0.12,"2-oxoglutarate-dependent dioxygenase family protein(AT5G01780)","AT5G01780"
"AT5G03555",0.17,0.12,"permease, cytosine/purines, uracil, thiamine, allantoin family protein(NCS1)","NCS1"
"AT5G04800",0.17,0.12,"Ribosomal S17 family protein(AT5G04800)","AT5G04800"
"AT5G05210",0.17,0.12,"Surfeit locus protein 6(AT5G05210)","AT5G05210"
"AT5G05270",0.17,0.12,"Chalcone-flavanone isomerase family protein(CHIL)","CHIL"
"AT5G06390",0.17,0.11,"FASCICLIN-like arabinogalactan protein 17 precursor(FLA17)","FLA17"
"AT5G07460",0.17,0.12,"peptidemethionine sulfoxide reductase 2(PMSR2)","PMSR2"
"AT5G07720",0.17,0.12,"Galactosyl transferase GMA12/MNN10 family protein(XXT3)","XXT3"
"AT5G09750",0.17,0.12,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(HEC3)","HEC3"
"AT5G09995",0.17,0.11,"transmembrane protein(AT5G09995)","AT5G09995"
"AT5G10336",0.17,0.12,"hypothetical protein(AT5G10336)","AT5G10336"
"AT5G11650",0.17,0.12,"alpha/beta-Hydrolases superfamily protein(AT5G11650)","AT5G11650"
"AT5G12080",0.17,0.11,"mechanosensitive channel of small conductance-like 10(MSL10)","MSL10"
"AT5G15010",0.17,0.11,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G15010)","AT5G15010"
"AT5G15900",0.17,0.11,"TRICHOME BIREFRINGENCE-LIKE 19(TBL19)","TBL19"
"AT5G16530",0.17,0.12,"Auxin efflux carrier family protein(PIN5)","PIN5"
"AT5G16590",0.17,0.12,"Leucine-rich repeat protein kinase family protein(AT5G16590)","AT5G16590"
"AT5G17280",0.17,0.11,"oxidoreductase-like protein, amino-terminal protein(AT5G17280)","AT5G17280"
"AT5G18280",0.17,0.12,"apyrase 2(APY2)","APY2"
"AT5G18600",0.17,0.11,"Thioredoxin superfamily protein(AT5G18600)","AT5G18600"
"AT5G20110",0.17,0.11,"Dynein light chain type 1 family protein(AT5G20110)","AT5G20110"
"AT5G20360",0.17,0.12,"Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein(Phox3)","Phox3"
"AT5G22020",0.17,0.11,"Calcium-dependent phosphotriesterase superfamily protein(AT5G22020)","AT5G22020"
"AT5G24870",0.17,0.11,"RING/U-box superfamily protein(AT5G24870)","AT5G24870"
"AT5G25140",0.17,0.11,"cytochrome P450, family 71, subfamily B, polypeptide 13(CYP71B13)","CYP71B13"
"AT5G35510",0.17,0.1,"TIR-NBS-LRR class disease resistance protein(AT5G35510)","AT5G35510"
"AT5G37360",0.17,0.12,"LOW protein: ammonium transporter 1-like protein(AT5G37360)","AT5G37360"
"AT5G37410",0.17,0.11,"hypothetical protein (DUF577)(AT5G37410)","AT5G37410"
"AT5G38344",0.17,0.12,"Toll-Interleukin-Resistance (TIR) domain family protein(AT5G38344)","AT5G38344"
"AT5G38610",0.17,0.12,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G38610)","AT5G38610"
"AT5G40900",0.17,0.11,"Nucleotide-diphospho-sugar transferase family protein(AT5G40900)","AT5G40900"
"AT5G41140",0.17,0.1,"Myosin heavy chain-related protein(AT5G41140)","AT5G41140"
"AT5G41908",0.17,0.12,"hypothetical protein(AT5G41908)","AT5G41908"
"AT5G42810",0.17,0.11,"inositol-pentakisphosphate 2-kinase 1(IPK1)","IPK1"
"AT5G43020",0.17,0.12,"Leucine-rich repeat protein kinase family protein(AT5G43020)","AT5G43020"
"AT5G43240",0.17,0.12,"hypothetical protein (DUF674)(AT5G43240)","AT5G43240"
"AT5G44065",0.17,0.1,"hypothetical protein(AT5G44065)","AT5G44065"
"AT5G44290",0.17,0.11,"Protein kinase superfamily protein(AT5G44290)","AT5G44290"
"AT5G46090",0.17,0.12,"transmembrane protein, putative (DUF679)(AT5G46090)","AT5G46090"
"AT5G46140",0.17,0.11,"hypothetical protein (DUF295)(AT5G46140)","AT5G46140"
"AT5G46420",0.17,0.11,"16S rRNA processing protein RimM family(AT5G46420)","AT5G46420"
"AT5G47190",0.17,0.1,"Ribosomal protein L19 family protein(AT5G47190)","AT5G47190"
"AT5G47630",0.17,0.1,"mitochondrial acyl carrier protein 3(mtACP3)","mtACP3"
"AT5G49370",0.17,0.11,"obsolete","AT5G49370"
"AT5G51880",0.17,0.11,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G51880)","AT5G51880"
"AT5G53180",0.17,0.12,"polypyrimidine tract-binding protein 2(PTB2)","PTB2"
"AT5G54610",0.17,0.11,"ankyrin(ANK)","ANK"
"AT5G55400",0.17,0.11,"Actin binding Calponin homology (CH) domain-containing protein(AT5G55400)","AT5G55400"
"AT5G55470",0.17,0.11,"Na+/H+ (sodium hydrogen) exchanger 3(NHX3)","NHX3"
"AT5G55896",0.17,0.12,"hypothetical protein(AT5G55896)","AT5G55896"
"AT5G55960",0.17,0.1,"transmembrane protein C9orf5 protein(AT5G55960)","AT5G55960"
"AT5G56340",0.17,0.11,"RING/U-box superfamily protein(ATCRT1)","ATCRT1"
"AT5G56367",0.17,0.11,"hypothetical protein(AT5G56367)","AT5G56367"
"AT5G59360",0.17,0.11,"hypothetical protein(AT5G59360)","AT5G59360"
"AT5G59800",0.17,0.1,"methyl-CPG-binding domain 7(MBD7)","MBD7"
"AT5G62920",0.17,0.11,"response regulator 6(ARR6)","ARR6"
"AT5G63195",0.17,0.11,"ncRNA(AT5G63195)","AT5G63195"
"AT5G63770",0.17,0.11,"diacylglycerol kinase 2(DGK2)","DGK2"
"AT5G65020",0.17,0.12,"annexin 2(ANNAT2)","ANNAT2"
"AT5G65220",0.17,0.11,"Ribosomal L29 family protein(AT5G65220)","AT5G65220"
"AT5G66720",0.17,0.1,"Protein phosphatase 2C family protein(AT5G66720)","AT5G66720"
"AT5G67140",0.17,0.11,"F-box/RNI-like superfamily protein(AT5G67140)","AT5G67140"
"AT5G67510",0.17,0.12,"Translation protein SH3-like family protein(AT5G67510)","AT5G67510"
"AT1G02130",0.16,0.15,"RAS 5(RA-5)","RA-5"
"AT1G02910",0.16,0.14,"tetratricopeptide repeat (TPR)-containing protein(LPA1)","LPA1"
"AT1G05150",0.16,0.13,"Calcium-binding tetratricopeptide family protein(AT1G05150)","AT1G05150"
"AT1G06240",0.16,0.13,"diiron containing four-helix bundle family ferritin protein, putative (Protein of unknown function DUF455)(AT1G06240)","AT1G06240"
"AT1G06650",0.16,0.14,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G06650)","AT1G06650"
"AT1G07070",0.16,0.13,"Ribosomal protein L35Ae family protein(AT1G07070)","AT1G07070"
"AT1G07560",0.16,0.14,"Leucine-rich repeat protein kinase family protein(AT1G07560)","AT1G07560"
"AT1G07728",0.16,0.13,"ncRNA(AT1G07728)","AT1G07728"
"AT1G07795",0.16,0.13,"forkhead box protein G1(AT1G07795)","AT1G07795"
"AT1G07870",0.16,0.15,"Protein kinase superfamily protein(AT1G07870)","AT1G07870"
"AT1G08440",0.16,0.14,"aluminum activated malate transporter family protein(AT1G08440)","AT1G08440"
"AT1G08510",0.16,0.14,"fatty acyl-ACP thioesterases B(FATB)","FATB"
"AT1G10030",0.16,0.13,"ergosterol biosynthesis protein(ERG28)","ERG28"
"AT1G11410",0.16,0.13,"S-locus lectin protein kinase family protein(AT1G11410)","AT1G11410"
"AT1G11650",0.16,0.12,"RNA-binding (RRM/RBD/RNP motifs) family protein(RBP45B)","RBP45B"
"AT1G12830",0.16,0.13,"nucleolin(AT1G12830)","AT1G12830"
"AT1G12920",0.16,0.14,"eukaryotic release factor 1-2(ERF1-2)","ERF1-2"
"AT1G14345",0.16,0.14,"NAD(P)-linked oxidoreductase superfamily protein(AT1G14345)","AT1G14345"
"AT1G16810",0.16,0.15,"7-dehydrocholesterol reductase-like protein(AT1G16810)","AT1G16810"
"AT1G17350",0.16,0.14,"NADH:ubiquinone oxidoreductase intermediate-associated protein 30(AT1G17350)","AT1G17350"
"AT1G17520",0.16,0.13,"Homeodomain-like/winged-helix DNA-binding family protein(AT1G17520)","AT1G17520"
"AT1G17600",0.16,0.13,"Disease resistance protein (TIR-NBS-LRR class) family(AT1G17600)","AT1G17600"
"AT1G18070",0.16,0.13,"Translation elongation factor EF1A/initiation factor IF2gamma family protein(AT1G18070)","AT1G18070"
"AT1G18590",0.16,0.15,"sulfotransferase 17(SOT17)","SOT17"
"AT1G21070",0.16,0.13,"Nucleotide-sugar transporter family protein(AT1G21070)","AT1G21070"
"AT1G21760",0.16,0.14,"F-box protein 7(FBP7)","FBP7"
"AT1G21920",0.16,0.14,"Histone H3 K4-specific methyltransferase SET7/9 family protein(AT1G21920)","AT1G21920"
"AT1G23470",0.16,0.14,"miscRNA(AT1G23470)","AT1G23470"
"AT1G23960",0.16,0.15,"hypothetical protein (DUF626)(AT1G23960)","AT1G23960"
"AT1G25450",0.16,0.13,"3-ketoacyl-CoA synthase 5(KCS5)","KCS5"
"AT1G26910",0.16,0.15,"Ribosomal protein L16p/L10e family protein(RPL10B)","RPL10B"
"AT1G27360",0.16,0.13,"squamosa promoter-like 11(SPL11)","SPL11"
"AT1G27770",0.16,0.13,"autoinhibited Ca2+-ATPase 1(ACA1)","ACA1"
"AT1G29880",0.16,0.13,"glycyl-tRNA synthetase / glycine-tRNA ligase(AT1G29880)","AT1G29880"
"AT1G30530",0.16,0.13,"UDP-glucosyl transferase 78D1(UGT78D1)","UGT78D1"
"AT1G32740",0.16,0.14,"SBP (S-ribonuclease binding protein) family protein(AT1G32740)","AT1G32740"
"AT1G33940",0.16,0.13,"Serine/Threonine-kinase ULK4-like protein(AT1G33940)","AT1G33940"
"AT1G34070",0.16,0.14,"Copia-like polyprotein/retrotransposon(AT1G34070)","AT1G34070"
"AT1G35735",0.16,0.13,"hypothetical protein(AT1G35735)","AT1G35735"
"AT1G38131",0.16,0.15,"O-fucosyltransferase family protein(AT1G38131)","AT1G38131"
"AT1G44770",0.16,0.14,"elongation factor(AT1G44770)","AT1G44770"
"AT1G45976",0.16,0.13,"S-ribonuclease binding protein 1(SBP1)","SBP1"
"AT1G47278",0.16,0.15,"hypothetical protein(AT1G47278)","AT1G47278"
"AT1G48380",0.16,0.14,"root hair initiation protein root hairless 1 (RHL1)(RHL1)","RHL1"
"AT1G48820",0.16,0.13,"Terpenoid cyclases/Protein prenyltransferases superfamily protein(AT1G48820)","AT1G48820"
"AT1G49200",0.16,0.14,"RING/U-box superfamily protein(AT1G49200)","AT1G49200"
"AT1G49240",0.16,0.13,"actin 8(ACT8)","ACT8"
"AT1G49330",0.16,0.15,"hydroxyproline-rich glycoprotein family protein(AT1G49330)","AT1G49330"
"AT1G49450",0.16,0.14,"Transducin/WD40 repeat-like superfamily protein(AT1G49450)","AT1G49450"
"AT1G50590",0.16,0.13,"RmlC-like cupins superfamily protein(AT1G50590)","AT1G50590"
"AT1G50720",0.16,0.13,"Stigma-specific Stig1 family protein(AT1G50720)","AT1G50720"
"AT1G50770",0.16,0.14,"Aminotransferase-like, plant mobile domain family protein(AT1G50770)","AT1G50770"
"AT1G52827",0.16,0.13,"cadmium tolerance 1(CDT1)","CDT1"
"AT1G53240",0.16,0.13,"Lactate/malate dehydrogenase family protein(mMDH1)","mMDH1"
"AT1G53920",0.16,0.15,"GDSL-motif lipase 5(GLIP5)","GLIP5"
"AT1G54820",0.16,0.14,"Protein kinase superfamily protein(AT1G54820)","AT1G54820"
"AT1G55350",0.16,0.13,"calpain-type cysteine protease family(DEK1)","DEK1"
"AT1G55964",0.16,0.14,"miscRNA(AT1G55964)","AT1G55964"
"AT1G56610",0.16,0.13,"Protein with RNI-like/FBD-like domain(AT1G56610)","AT1G56610"
"AT1G59720",0.16,0.13,"Tetratricopeptide repeat (TPR)-like superfamily protein(CRR28)","CRR28"
"AT1G60710",0.16,0.15,"NAD(P)-linked oxidoreductase superfamily protein(ATB2)","ATB2"
"AT1G60950",0.16,0.14,"2Fe-2S ferredoxin-like superfamily protein(FED A)","FED A"
"AT1G61795",0.16,0.15,"PAK-box/P21-Rho-binding family protein(AT1G61795)","AT1G61795"
"AT1G62975",0.16,0.14,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G62975)","AT1G62975"
"AT1G63310",0.16,0.13,"hypothetical protein(AT1G63310)","AT1G63310"
"AT1G64561",0.16,0.14,"hypothetical protein(AT1G64561)","AT1G64561"
"AT1G65880",0.16,0.13,"benzoyloxyglucosinolate 1(BZO1)","BZO1"
"AT1G65960",0.16,0.12,"glutamate decarboxylase 2(GAD2)","GAD2"
"AT1G66730",0.16,0.13,"DNA LIGASE 6(LIG6)","LIG6"
"AT1G67890",0.16,0.13,"PAS domain-containing protein tyrosine kinase family protein(AT1G67890)","AT1G67890"
"AT1G68570",0.16,0.13,"Major facilitator superfamily protein(AT1G68570)","AT1G68570"
"AT1G69680",0.16,0.14,"ran guanine nucleotide release factor, putative (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)(AT1G69680)","AT1G69680"
"AT1G70060",0.16,0.14,"SIN3-like 4(SNL4)","SNL4"
"AT1G70290",0.16,0.13,"trehalose-6-phosphatase synthase S8(TPS8)","TPS8"
"AT1G71330",0.16,0.12,"non-intrinsic ABC protein 5(NAP5)","NAP5"
"AT1G71440",0.16,0.13,"tubulin folding cofactor E / Pfifferling (PFI)(PFI)","PFI"
"AT1G72240",0.16,0.14,"hypothetical protein(AT1G72240)","AT1G72240"
"AT1G72370",0.16,0.14,"40s ribosomal protein SA(P40)","P40"
"AT1G73080",0.16,0.15,"PEP1 receptor 1(PEPR1)","PEPR1"
"AT1G73730",0.16,0.13,"ETHYLENE-INSENSITIVE3-like 3(EIL3)","EIL3"
"AT1G74180",0.16,0.13,"receptor like protein 14(RLP14)","RLP14"
"AT1G78140",0.16,0.13,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G78140)","AT1G78140"
"AT1G79550",0.16,0.13,"phosphoglycerate kinase(PGK)","PGK"
"AT2G01250",0.16,0.15,"Ribosomal protein L30/L7 family protein(AT2G01250)","AT2G01250"
"AT2G01360",0.16,0.13,"pentatricopeptide (PPR) repeat protein(AT2G01360)","AT2G01360"
"AT2G03270",0.16,0.13,"DNA-binding protein(AT2G03270)","AT2G03270"
"AT2G03291",0.16,0.13,"miscRNA(AT2G03291)","AT2G03291"
"AT2G05560",0.16,0.14,"hypothetical protein(AT2G05560)","AT2G05560"
"AT2G05920",0.16,0.13,"Subtilase family protein(AT2G05920)","AT2G05920"
"AT2G10800",0.16,0.14,"hypothetical protein(AT2G10800)","AT2G10800"
"AT2G15280",0.16,0.13,"Reticulon family protein(AT2G15280)","AT2G15280"
"AT2G17695",0.16,0.15,"outer envelope protein(AT2G17695)","AT2G17695"
"AT2G18570",0.16,0.14,"UDP-Glycosyltransferase superfamily protein(AT2G18570)","AT2G18570"
"AT2G18630",0.16,0.14,"transmembrane protein, putative (DUF677)(AT2G18630)","AT2G18630"
"AT2G19580",0.16,0.13,"tetraspanin2(TET2)","TET2"
"AT2G19940",0.16,0.15,"Putative N-acetyl-gamma-glutamyl-phosphate reductase(AT2G19940)","AT2G19940"
"AT2G20290",0.16,0.13,"myosin-like protein XIG(XIG)","XIG"
"AT2G21195",0.16,0.13,"hypothetical protein(AT2G21195)","AT2G21195"
"AT2G21230",0.16,0.15,"Basic-leucine zipper (bZIP) transcription factor family protein(AT2G21230)","AT2G21230"
"AT2G22630",0.16,0.13,"AGAMOUS-like 17(AGL17)","AGL17"
"AT2G23810",0.16,0.13,"tetraspanin8(TET8)","TET8"
"AT2G24020",0.16,0.13,"Putative BCR, YbaB family COG0718(AT2G24020)","AT2G24020"
"AT2G25200",0.16,0.13,"hypothetical protein (DUF868)(AT2G25200)","AT2G25200"
"AT2G25220",0.16,0.15,"Protein kinase superfamily protein(AT2G25220)","AT2G25220"
"AT2G26030",0.16,0.14,"F-box/RNI-like/FBD-like domains-containing protein(AT2G26030)","AT2G26030"
"AT2G26140",0.16,0.14,"FTSH protease 4(ftsh4)","ftsh4"
"AT2G26840",0.16,0.13,"MutS2(AT2G26840)","AT2G26840"
"AT2G26990",0.16,0.13,"proteasome family protein(FUS12)","FUS12"
"AT2G27400",0.16,0.13,"ncRNA(TAS1A)","TAS1A"
"AT2G28050",0.16,0.13,"Pentatricopeptide repeat (PPR) superfamily protein(AT2G28050)","AT2G28050"
