"","gene","accession_idsorted","SRTM_elevation","annotation","symbol"
"12522","AT3G26560",9832,0.22,"ATP-dependent RNA helicase(AT3G26560)","AT3G26560"
"12591","AT3G27170",9845,0.22,"chloride channel B(CLC-B)","CLC-B"
"12613","AT3G27390",9568,0.22,"transmembrane protein(AT3G27390)","AT3G27390"
"12723","AT3G28640",9819,0.22,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G28640)","AT3G28640"
"12738","AT3G28850",9522,0.22,"Glutaredoxin family protein(AT3G28850)","AT3G28850"
"13008","AT3G43960",9518,0.22,"Cysteine proteinases superfamily protein(AT3G43960)","AT3G43960"
"13022","AT3G44150",9586,0.22,"Expp1 protein(AT3G44150)","AT3G44150"
"13205","AT3G46490",9871,0.22,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G46490)","AT3G46490"
"13245","AT3G46920",8357,0.22,"kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein(AT3G46920)","AT3G46920"
"13282","AT3G47380",9524,0.22,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT3G47380)","AT3G47380"
"13353","AT3G48080",9533,0.22,"alpha/beta-Hydrolases superfamily protein(AT3G48080)","AT3G48080"
"13407","AT3G48550",9846,0.22,"SHOOT GRAVITROPISM-like protein(AT3G48550)","AT3G48550"
"13673","AT3G51360",9601,0.22,"Eukaryotic aspartyl protease family protein(AT3G51360)","AT3G51360"
"13682","AT3G51440",9874,0.22,"Calcium-dependent phosphotriesterase superfamily protein(AT3G51440)","AT3G51440"
"13686","AT3G51478",6970,0.22,"miscRNA(AT3G51478)","AT3G51478"
"14162","AT3G56500",6970,0.22,"serine-rich protein-like protein(AT3G56500)","AT3G56500"
"14236","AT3G57260",9531,0.22,"beta-1,3-glucanase 2(BGL2)","BGL2"
"14271","AT3G57630",9533,0.22,"exostosin family protein(AT3G57630)","AT3G57630"
"14298","AT3G57910",6970,0.22,"D111/G-patch domain-containing protein(AT3G57910)","AT3G57910"
"14368","AT3G58800",9518,0.22,"secretion-regulating guanine nucleotide exchange factor(AT3G58800)","AT3G58800"
"14452","AT3G59790",9588,0.22,"MAP kinase 10(MPK10)","MPK10"
"14479","AT3G60130",9557,0.22,"beta glucosidase 16(BGLU16)","BGLU16"
"14545","AT3G60830",9557,0.22,"actin-related protein 7(ARP7)","ARP7"
"14650","AT3G61860",9568,0.22,"RNA-binding (RRM/RBD/RNP motifs) family protein(RS31)","RS31"
"15054","AT4G02180",9550,0.22,"DC1 domain-containing protein(AT4G02180)","AT4G02180"
"15100","AT4G02650",9819,0.22,"ENTH/ANTH/VHS superfamily protein(AT4G02650)","AT4G02650"
"15118","AT4G02810",9531,0.22,"FANTASTIC four-like protein (DUF3049)(FAF1)","FAF1"
"15186","AT4G03505",9533,0.22,"hypothetical protein(AT4G03505)","AT4G03505"
"15415","AT4G08395",9944,0.22,"hypothetical protein(AT4G08395)","AT4G08395"
"15557","AT4G10280",9526,0.22,"RmlC-like cupins superfamily protein(AT4G10280)","AT4G10280"
"15677","AT4G11640",9832,0.22,"serine racemase(SR)","SR"
"15730","AT4G12260",9547,0.22,"hypothetical protein(AT4G12260)","AT4G12260"
"15737","AT4G12330",9586,0.22,"cytochrome P450, family 706, subfamily A, polypeptide 7(CYP706A7)","CYP706A7"
"15785","AT4G12840",9874,0.22,"GTPase Der (DUF707)(AT4G12840)","AT4G12840"
"15836","AT4G13410",9567,0.22,"Nucleotide-diphospho-sugar transferases superfamily protein(ATCSLA15)","ATCSLA15"
"15840","AT4G13450",9587,0.22,"Adenine nucleotide alpha hydrolases-like superfamily protein(AT4G13450)","AT4G13450"
"15920","AT4G14180",9871,0.22,"putative recombination initiation defect 1(PRD1)","PRD1"
"16110","AT4G15820",9584,0.22,"ABC subfamily C protein(AT4G15820)","AT4G15820"
"16177","AT4G16447",9568,0.22,"hypothetical protein(AT4G16447)","AT4G16447"
"16302","AT4G17600",9522,0.22,"Chlorophyll A-B binding family protein(LIL3:1)","LIL3:1"
"16369","AT4G18300",9518,0.22,"Trimeric LpxA-like enzyme(AT4G18300)","AT4G18300"
"16374","AT4G18370",9533,0.22,"DEGP protease 5(DEG5)","DEG5"
"16382","AT4G18430",9584,0.22,"RAB GTPase homolog A1E(RABA1e)","RABA1e"
"16445","AT4G19045",9550,0.22,"Mob1/phocein family protein(AT4G19045)","AT4G19045"
"16804","AT4G23050",9874,0.22,"PAS domain-containing protein tyrosine kinase family protein(AT4G23050)","AT4G23050"
"16964","AT4G24700",9598,0.22,"hypothetical protein(AT4G24700)","AT4G24700"
"17159","AT4G26710",9557,0.22,"ATPase, V0 complex, subunit E(AT4G26710)","AT4G26710"
"17199","AT4G27120",9587,0.22,"DDRGK domain protein(AT4G27120)","AT4G27120"
"17217","AT4G27340",8357,0.22,"Met-10+ like family protein(AT4G27340)","AT4G27340"
"17341","AT4G28530",9825,0.22,"NAC domain containing protein 74(NAC074)","NAC074"
"17555","AT4G30890",9944,0.22,"ubiquitin-specific protease 24(UBP24)","UBP24"
"17585","AT4G31170",9871,0.22,"Protein kinase superfamily protein(AT4G31170)","AT4G31170"
"18017","AT4G35550",9598,0.22,"WUSCHEL related homeobox 13(WOX13)","WOX13"
"18197","AT4G37400",9874,0.22,"cytochrome P450, family 81, subfamily F, polypeptide 3(CYP81F3)","CYP81F3"
"18249","AT4G37890",9568,0.22,"Zinc finger (C3HC4-type RING finger) family protein(EDA40)","EDA40"
"18448","AT4G39920",9547,0.22,"C-CAP/cofactor C-like domain-containing protein(POR)","POR"
"18867","AT5G04980",9598,0.22,"DNAse I-like superfamily protein(AT5G04980)","AT5G04980"
"19125","AT5G07720",9531,0.22,"Galactosyl transferase GMA12/MNN10 family protein(XXT3)","XXT3"
"19273","AT5G09640",9588,0.22,"serine carboxypeptidase-like 19(SCPL19)","SCPL19"
"19294","AT5G09850",9526,0.22,"Transcription elongation factor (TFIIS) family protein(AT5G09850)","AT5G09850"
"19316","AT5G10040",9846,0.22,"transmembrane protein(AT5G10040)","AT5G10040"
"19355","AT5G10410",9905,0.22,"ENTH/ANTH/VHS superfamily protein(AT5G10410)","AT5G10410"
"19371","AT5G10572",9568,0.22,"ncRNA(SNOR77)","SNOR77"
"19456","AT5G11412",9880,0.22,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G11412)","AT5G11412"
"19472","AT5G11560",9567,0.22,"catalytics(AT5G11560)","AT5G11560"
"19561","AT5G12880",6970,0.22,"proline-rich family protein(AT5G12880)","AT5G12880"
"19607","AT5G13370",9560,0.22,"Auxin-responsive GH3 family protein(AT5G13370)","AT5G13370"
"19608","AT5G13380",9567,0.22,"Auxin-responsive GH3 family protein(AT5G13380)","AT5G13380"
"19645","AT5G13780",9586,0.22,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT5G13780)","AT5G13780"
"19941","AT5G16860",9533,0.22,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G16860)","AT5G16860"
"20093","AT5G18460",9825,0.22,"carboxyl-terminal peptidase (DUF239)(AT5G18460)","AT5G18460"
"20179","AT5G19300",9533,0.22,"methyltransferase C9orf114 protein(AT5G19300)","AT5G19300"
"20540","AT5G23850",9871,0.22,"O-glucosyltransferase rumi-like protein (DUF821)(AT5G23850)","AT5G23850"
"20631","AT5G24760",9588,0.22,"GroES-like zinc-binding dehydrogenase family protein(AT5G24760)","AT5G24760"
"20788","AT5G26790",9531,0.22,"transmembrane protein(AT5G26790)","AT5G26790"
"20821","AT5G27240",9526,0.22,"DNAJ heat shock N-terminal domain-containing protein(AT5G27240)","AT5G27240"
"20853","AT5G27640",9522,0.22,"translation initiation factor 3B1(TIF3B1)","TIF3B1"
"20928","AT5G28450",9557,0.22,"Chlorophyll A-B binding family protein(AT5G28450)","AT5G28450"
"21050","AT5G35407",9880,0.22,"ncRNA(MIR396b)","MIR396b"
"21070","AT5G35590",9587,0.22,"proteasome alpha subunit A1(PAA1)","PAA1"
"21164","AT5G37310",9547,0.22,"Endomembrane protein 70 protein family(AT5G37310)","AT5G37310"
"21220","AT5G38040",9880,0.22,"UDP-Glycosyltransferase superfamily protein(AT5G38040)","AT5G38040"
"21272","AT5G38640",9584,0.22,"NagB/RpiA/CoA transferase-like superfamily protein(AT5G38640)","AT5G38640"
"21452","AT5G40850",9844,0.22,"urophorphyrin methylase 1(UPM1)","UPM1"
"21482","AT5G41130",9601,0.22,"Esterase/lipase/thioesterase family protein(AT5G41130)","AT5G41130"
"21647","AT5G42850",9586,0.22,"Thioredoxin superfamily protein(AT5G42850)","AT5G42850"
"21756","AT5G43980",9825,0.22,"plasmodesmata-located protein 1(PDLP1)","PDLP1"
"21807","AT5G44460",9531,0.22,"calmodulin like 43(CML43)","CML43"
"21821","AT5G44572",9598,0.22,"transmembrane protein(AT5G44572)","AT5G44572"
"21839","AT5G44710",9524,0.22,"37S ribosomal protein S27(AT5G44710)","AT5G44710"
"22021","AT5G46610",9586,0.22,"aluminum activated malate transporter family protein(AT5G46610)","AT5G46610"
"22211","AT5G48580",9518,0.22,"FK506- and rapamycin-binding protein 15 kD-2(FKBP15-2)","FKBP15-2"
"22242","AT5G48900",9944,0.22,"Pectin lyase-like superfamily protein(AT5G48900)","AT5G48900"
"22476","AT5G51630",9871,0.22,"Disease resistance protein (TIR-NBS-LRR class) family(AT5G51630)","AT5G51630"
"22550","AT5G52510",8357,0.22,"SCARECROW-like 8(SCL8)","SCL8"
"22861","AT5G55850",9533,0.22,"RPM1-interacting protein 4 (RIN4) family protein(NOI)","NOI"
"22897","AT5G56260",9547,0.22,"Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase(AT5G56260)","AT5G56260"
"22905","AT5G56350",9587,0.22,"Pyruvate kinase family protein(AT5G56350)","AT5G56350"
"23066","AT5G58005",9547,0.22,"Cytochrome c oxidase, subunit Vib family protein(AT5G58005)","AT5G58005"
"23371","AT5G61250",9547,0.22,"glucuronidase 1(GUS1)","GUS1"
"23461","AT5G62270",9880,0.22,"ribosomal protein L20(GCD1)","GCD1"
"23602","AT5G63820",9518,0.22,"hypothetical protein (DUF626)(AT5G63820)","AT5G63820"
"23793","AT5G65670",9825,0.22,"indole-3-acetic acid inducible 9(IAA9)","IAA9"
"23813","AT5G65860",9547,0.22,"ankyrin repeat family protein(AT5G65860)","AT5G65860"
"23924","AT5G66890",9588,0.22,"Leucine-rich repeat (LRR) family protein(AT5G66890)","AT5G66890"
"23986","AT5G67500",9560,0.22,"voltage dependent anion channel 2(VDAC2)","VDAC2"
"24109","ATMG00150",9944,0.22,"ORF116","ORF116"
"21","AT1G01200",9601,0.21,"RAB GTPase homolog A3(RABA3)","RABA3"
"396","AT1G05010",9819,0.21,"ethylene-forming enzyme(EFE)","EFE"
"397","AT1G05020",9825,0.21,"ENTH/ANTH/VHS superfamily protein(AT1G05020)","AT1G05020"
"398","AT1G05030",9832,0.21,"Major facilitator superfamily protein(AT1G05030)","AT1G05030"
"568","AT1G06750",9832,0.21,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G06750)","AT1G06750"
"612","AT1G07210",6970,0.21,"Ribosomal protein S18(AT1G07210)","AT1G07210"
"815","AT1G09290",9944,0.21,"hypothetical protein(AT1G09290)","AT1G09290"
"1002","AT1G11150",9586,0.21,"hypothetical protein(AT1G11150)","AT1G11150"
"1088","AT1G12000",6970,0.21,"Phosphofructokinase family protein(AT1G12000)","AT1G12000"
"1108","AT1G12210",9598,0.21,"RPS5-like 1(RFL1)","RFL1"
"1472","AT1G15810",9550,0.21,"S15/NS1, RNA-binding protein(AT1G15810)","AT1G15810"
"1764","AT1G18900",9874,0.21,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G18900)","AT1G18900"
"2048","AT1G21980",9543,0.21,"phosphatidylinositol-4-phosphate 5-kinase 1(PIP5K1)","PIP5K1"
"2049","AT1G22020",9547,0.21,"serine hydroxymethyltransferase 6(SHM6)","SHM6"
"2086","AT1G22410",9560,0.21,"Class-II DAHP synthetase family protein(AT1G22410)","AT1G22410"
"2193","AT1G23700",9587,0.21,"Protein kinase superfamily protein(AT1G23700)","AT1G23700"
"2355","AT1G26530",9550,0.21,"PIN domain-like family protein(AT1G26530)","AT1G26530"
"2635","AT1G29640",9593,0.21,"senescence regulator (Protein of unknown function, DUF584)(AT1G29640)","AT1G29640"
"2669","AT1G29970",9593,0.21,"60S ribosomal protein L18A-1(RPL18AA)","RPL18AA"
"2765","AT1G30990",9567,0.21,"Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G30990)","AT1G30990"
"2772","AT1G31120",9598,0.21,"K+ uptake permease 10(KUP10)","KUP10"
"2828","AT1G31817",9543,0.21,"Ribosomal L18p/L5e family protein(NFD3)","NFD3"
"2873","AT1G32330",9593,0.21,"heat shock transcription factor A1D(HSFA1D)","HSFA1D"
"2952","AT1G33350",9874,0.21,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G33350)","AT1G33350"
"3105","AT1G35612",9567,0.21,"hypothetical protein(AT1G35612)","AT1G35612"
"3130","AT1G36190",9524,0.21,"hypothetical protein(AT1G36190)","AT1G36190"
"3216","AT1G43700",9819,0.21,"VIRE2-interacting protein 1(VIP1)","VIP1"
"3221","AT1G43770",9846,0.21,"RING/FYVE/PHD zinc finger superfamily protein(AT1G43770)","AT1G43770"
"3262","AT1G44780",8357,0.21,"translation initiation factor(AT1G44780)","AT1G44780"
"3419","AT1G48340",9819,0.21,"miscRNA(AT1G48340)","AT1G48340"
"3462","AT1G48770",9880,0.21,"hypothetical protein (DUF1639)(AT1G48770)","AT1G48770"
"3527","AT1G49580",9855,0.21,"Calcium-dependent protein kinase (CDPK) family protein(AT1G49580)","AT1G49580"
"3587","AT1G50270",9598,0.21,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G50270)","AT1G50270"
"3612","AT1G50560",9557,0.21,"cytochrome P450, family 705, subfamily A, polypeptide 25(CYP705A25)","CYP705A25"
"3666","AT1G51270",9880,0.21,"vesicle-associated protein 1-4(AT1G51270)","AT1G51270"
"3726","AT1G51890",9825,0.21,"Leucine-rich repeat protein kinase family protein(AT1G51890)","AT1G51890"
"3912","AT1G53790",9531,0.21,"F-box and associated interaction domains-containing protein(AT1G53790)","AT1G53790"
"4005","AT1G54970",9880,0.21,"proline-rich protein 1(PRP1)","PRP1"
"4017","AT1G55130",9547,0.21,"Endomembrane protein 70 protein family(TMN6)","TMN6"
"4028","AT1G55207",9598,0.21,"hypothetical protein(AT1G55207)","AT1G55207"
"4143","AT1G56340",9944,0.21,"calreticulin 1a(CRT1a)","CRT1a"
"4183","AT1G57620",9526,0.21,"emp24/gp25L/p24 family/GOLD family protein(AT1G57620)","AT1G57620"
"4340","AT1G60650",9845,0.21,"RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain-containing protein(AtRZ-1b)","AtRZ-1b"
"4399","AT1G61275",9587,0.21,"ncRNA(U12)","U12"
"4408","AT1G61370",9845,0.21,"S-locus lectin protein kinase family protein(AT1G61370)","AT1G61370"
"4509","AT1G62480",9844,0.21,"Vacuolar calcium-binding protein-like protein(AT1G62480)","AT1G62480"
"4586","AT1G63260",6970,0.21,"tetraspanin10(TET10)","TET10"
"4697","AT1G64390",9547,0.21,"glycosyl hydrolase 9C2(GH9C2)","GH9C2"
"4854","AT1G66050",9880,0.21,"Zinc finger (C3HC4-type RING finger) family protein(VIM2)","VIM2"
"4980","AT1G67400",9601,0.21,"ELMO/CED-12 family protein(AT1G67400)","AT1G67400"
"5002","AT1G67620",9547,0.21,"Lojap-related protein(AT1G67620)","AT1G67620"
"5115","AT1G68725",9598,0.21,"arabinogalactan protein 19(AGP19)","AGP19"
"5205","AT1G69610",9543,0.21,"zinc finger FYVE domain protein, putative (DUF1666)(AT1G69610)","AT1G69610"
"5210","AT1G69680",9567,0.21,"ran guanine nucleotide release factor, putative (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)(AT1G69680)","AT1G69680"
"5404","AT1G71850",9522,0.21,"Ubiquitin carboxyl-terminal hydrolase family protein(AT1G71850)","AT1G71850"
"5511","AT1G72960",9543,0.21,"Root hair defective 3 GTP-binding protein (RHD3)(AT1G72960)","AT1G72960"
"5534","AT1G73180",9880,0.21,"Eukaryotic translation initiation factor eIF2A family protein(AT1G73180)","AT1G73180"
"5687","AT1G74650",9568,0.21,"myb domain protein 31(MYB31)","MYB31"
"5738","AT1G75170",9880,0.21,"Sec14p-like phosphatidylinositol transfer family protein(AT1G75170)","AT1G75170"
"5935","AT1G77260",9832,0.21,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G77260)","AT1G77260"
"6016","AT1G78130",9522,0.21,"Major facilitator superfamily protein(UNE2)","UNE2"
"6090","AT1G78870",9547,0.21,"ubiquitin-conjugating enzyme 35(UBC35)","UBC35"
"6233","AT1G80340",9586,0.21,"gibberellin 3-oxidase 2(GA3OX2)","GA3OX2"
"6259","AT1G80620",9543,0.21,"S15/NS1, RNA-binding protein(AT1G80620)","AT1G80620"
"6289","AT1G80910",9524,0.21,"vacuolar fusion CCZ1-like protein (DUF1712)(AT1G80910)","AT1G80910"
"6345","AT2G01505",9845,0.21,"CLAVATA3/ESR-RELATED 16(CLE16)","CLE16"
"6394","AT2G02000",9533,0.21,"glutamate decarboxylase 3(GAD3)","GAD3"
"6400","AT2G02061",9567,0.21,"Nucleotide-diphospho-sugar transferase family protein(AT2G02061)","AT2G02061"
"6504","AT2G03430",9584,0.21,"Ankyrin repeat family protein(AT2G03430)","AT2G03430"
"6786","AT2G10430",9844,0.21,"miscRNA(AT2G10430)","AT2G10430"
"6869","AT2G13450",9531,0.21,"Ta11-like non-LTR retrotransposon(AT2G13450)","AT2G13450"
"7023","AT2G15980",9844,0.21,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G15980)","AT2G15980"
"7087","AT2G16900",9601,0.21,"phospholipase-like protein (PEARLI 4) family protein(AT2G16900)","AT2G16900"
"7110","AT2G17130",9550,0.21,"isocitrate dehydrogenase subunit 2(IDH2)","IDH2"
"7135","AT2G17420",8357,0.21,"NADPH-dependent thioredoxin reductase A(NTRA)","NTRA"
"7195","AT2G18000",9846,0.21,"TBP-associated factor 14(TAF14)","TAF14"
"7196","AT2G18010",9855,0.21,"SAUR-like auxin-responsive protein family(AT2G18010)","AT2G18010"
"7233","AT2G18410",9880,0.21,"elongator complex protein(AT2G18410)","AT2G18410"
"7266","AT2G18780",9874,0.21,"F-box and associated interaction domains-containing protein(AT2G18780)","AT2G18780"
"7381","AT2G20140",9547,0.21,"AAA-type ATPase family protein(RPT2b)","RPT2b"
"7438","AT2G20720",9905,0.21,"Pentatricopeptide repeat (PPR) superfamily protein(AT2G20720)","AT2G20720"
"7823","AT2G25000",9550,0.21,"WRKY DNA-binding protein 60(WRKY60)","WRKY60"
"7884","AT2G25670",9522,0.21,"hypothetical protein(AT2G25670)","AT2G25670"
"7961","AT2G26460",9567,0.21,"RED family protein(SMU2)","SMU2"
"7980","AT2G26680",9905,0.21,"FkbM family methyltransferase(AT2G26680)","AT2G26680"
"8492","AT2G32270",6970,0.21,"zinc transporter 3 precursor(ZIP3)","ZIP3"
"8856","AT2G36090",9846,0.21,"F-box family protein(AT2G36090)","AT2G36090"
"8961","AT2G37170",9880,0.21,"plasma membrane intrinsic protein 2(PIP2B)","PIP2B"
"9010","AT2G37650",9560,0.21,"GRAS family transcription factor(AT2G37650)","AT2G37650"
"9051","AT2G38090",9593,0.21,"Duplicated homeodomain-like superfamily protein(AT2G38090)","AT2G38090"
"9086","AT2G38440",9598,0.21,"SCAR homolog 2(SCAR2)","SCAR2"
"9160","AT2G39220",9845,0.21,"PATATIN-like protein 6(PLP6)","PLP6"
"9164","AT2G39260",9874,0.21,"regulator of nonsense transcripts UPF2(AT2G39260)","AT2G39260"
"9513","AT2G42740",9531,0.21,"ribosomal protein large subunit 16A(RPL16A)","RPL16A"
"9524","AT2G42860",9587,0.21,"hypothetical protein(AT2G42860)","AT2G42860"
"9541","AT2G43040",6970,0.21,"tetratricopeptide repeat (TPR)-containing protein(NPG1)","NPG1"
"9550","AT2G43130",9547,0.21,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(ARA4)","ARA4"
"9553","AT2G43141",9560,0.21,"ncRNA(AT2G43141)","AT2G43141"
"9646","AT2G44050",9522,0.21,"6,7-dimethyl-8-ribityllumazine synthase / DMRL synthase / lumazine synthase / riboflavin synthase(COS1)","COS1"
"9789","AT2G45510",9550,0.21,"cytochrome P450, family 704, subfamily A, polypeptide 2(CYP704A2)","CYP704A2"
"10019","AT2G47840",9518,0.21,"Uncharacterized conserved protein ycf60(Tic20-II)","Tic20-II"
"10044","AT2G48080",9846,0.21,"oxidoreductase, 2OG-Fe(II) oxygenase family protein(AT2G48080)","AT2G48080"
"10173","AT3G02180",9598,0.21,"SPIRAL1-like3(SP1L3)","SP1L3"
"10313","AT3G03600",9832,0.21,"ribosomal protein S2(RPS2)","RPS2"
"10382","AT3G04330",9844,0.21,"Kunitz family trypsin and protease inhibitor protein(AT3G04330)","AT3G04330"
"10409","AT3G04600",9588,0.21,"Nucleotidylyl transferase superfamily protein(AT3G04600)","AT3G04600"
"10446","AT3G04950",9601,0.21,"SEC-C motif protein(AT3G04950)","AT3G04950"
"10581","AT3G06200",9598,0.21,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G06200)","AT3G06200"
"10608","AT3G06455",9567,0.21,"ubiquitin family protein(AT3G06455)","AT3G06455"
"10658","AT3G06960",9871,0.21,"pigment defective 320(PDE320)","PDE320"
"10674","AT3G07110",9557,0.21,"Ribosomal protein L13 family protein(AT3G07110)","AT3G07110"
"10730","AT3G07610",6970,0.21,"Transcription factor jumonji (jmjC) domain-containing protein(IBM1)","IBM1"
"10898","AT3G09790",9905,0.21,"ubiquitin 8(UBQ8)","UBQ8"
"10942","AT3G10200",9543,0.21,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G10200)","AT3G10200"
"10974","AT3G10525",9531,0.21,"LOSS OF GIANT CELLS FROM ORGANS(LGO)","LGO"
"11053","AT3G11340",9587,0.21,"UDP-Glycosyltransferase superfamily protein(UGT76B1)","UGT76B1"
"11209","AT3G12940",9522,0.21,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G12940)","AT3G12940"
"11400","AT3G14550",9832,0.21,"geranylgeranyl pyrophosphate synthase 3(GGPS3)","GGPS3"
"11440","AT3G14960",9874,0.21,"Galactosyltransferase family protein(AT3G14960)","AT3G14960"
"11451","AT3G15080",9533,0.21,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT3G15080)","AT3G15080"
"11475","AT3G15320",9880,0.21,"hypothetical protein(AT3G15320)","AT3G15320"
"11646","AT3G17000",9905,0.21,"ubiquitin-conjugating enzyme 32(UBC32)","UBC32"
"11914","AT3G19870",9855,0.21,"AP-5 complex subunit beta-like protein(AT3G19870)","AT3G19870"
"11925","AT3G20000",9526,0.21,"translocase of the outer mitochondrial membrane 40(TOM40)","TOM40"
"11961","AT3G20350",9533,0.21,"actin cytoskeleton-regulatory complex pan-like protein(AT3G20350)","AT3G20350"
"12015","AT3G20898",9846,0.21,"hypothetical protein(AT3G20898)","AT3G20898"
"12039","AT3G21150",9587,0.21,"B-box 32(BBX32)","BBX32"
"12054","AT3G21290",9905,0.21,"dentin sialophosphoprotein-like protein(AT3G21290)","AT3G21290"
"12146","AT3G22410",9819,0.21,"Sec14p-like phosphatidylinositol transfer family protein(AT3G22410)","AT3G22410"
"12165","AT3G22600",9533,0.21,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G22600)","AT3G22600"
"12262","AT3G23637",9518,0.21,"DVL family protein(DVL21)","DVL21"
"12274","AT3G23780",9568,0.21,"nuclear RNA polymerase D2A(NRPD2A)","NRPD2A"
"12325","AT3G24400",9880,0.21,"miscRNA(PERK2)","PERK2"
"12360","AT3G24750",9905,0.21,"hypothetical protein(AT3G24750)","AT3G24750"
"12494","AT3G26290",9874,0.21,"cytochrome P450, family 71, subfamily B, polypeptide 26(CYP71B26)","CYP71B26"
"12586","AT3G27100",9598,0.21,"transcription/mRNA export factor(AT3G27100)","AT3G27100"
"12657","AT3G27880",9832,0.21,"hypothetical protein (DUF1645)(AT3G27880)","AT3G27880"
"12712","AT3G28510",9557,0.21,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G28510)","AT3G28510"
"12800","AT3G29430",9880,0.21,"Terpenoid synthases superfamily protein(AT3G29430)","AT3G29430"
"12986","AT3G43625",9568,0.21,"hypothetical protein(AT3G43625)","AT3G43625"
"12997","AT3G43825",9844,0.21,"hypothetical protein(AT3G43825)","AT3G43825"
"13285","AT3G47420",9533,0.21,"putative glycerol-3-phosphate transporter 1(G3Pp1)","G3Pp1"
"13358","AT3G48120",9560,0.21,"serine/arginine-rich splicing factor(AT3G48120)","AT3G48120"
"13737","AT3G52040",9587,0.21,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase(AT3G52040)","AT3G52040"
"13762","AT3G52260",9543,0.21,"Pseudouridine synthase family protein(AT3G52260)","AT3G52260"
"13866","AT3G53430",9550,0.21,"Ribosomal protein L11 family protein(AT3G53430)","AT3G53430"
"14278","AT3G57690",9568,0.21,"arabinogalactan protein 23(AGP23)","AGP23"
"14412","AT3G59340",9560,0.21,"solute carrier family 35 protein (DUF914)(AT3G59340)","AT3G59340"
"14489","AT3G60210",9601,0.21,"GroES-like family protein(AT3G60210)","AT3G60210"
"14529","AT3G60650",9871,0.21,"transmembrane protein(AT3G60650)","AT3G60650"
"14621","AT3G61570",9593,0.21,"GRIP-related ARF-binding domain-containing protein 1(GDAP1)","GDAP1"
"14697","AT3G62370",9846,0.21,"heme binding protein(AT3G62370)","AT3G62370"
"14758","AT3G63010",9598,0.21,"alpha/beta-Hydrolases superfamily protein(GID1B)","GID1B"
"14819","AT4G00030",9567,0.21,"Plastid-lipid associated protein PAP / fibrillin family protein(AT4G00030)","AT4G00030"
"15073","AT4G02405",9871,0.21,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G02405)","AT4G02405"
"15135","AT4G03010",9832,0.21,"RNI-like superfamily protein(AT4G03010)","AT4G03010"
"15151","AT4G03175",9531,0.21,"Protein kinase superfamily protein(AT4G03175)","AT4G03175"
"15181","AT4G03460",9518,0.21,"Ankyrin repeat family protein(AT4G03460)","AT4G03460"
"15431","AT4G08580",9584,0.21,"microfibrillar-associated protein-like protein(AT4G08580)","AT4G08580"
"15978","AT4G14695",9593,0.21,"Uncharacterized protein family (UPF0041)(AT4G14695)","AT4G14695"
"16069","AT4G15430",9543,0.21,"ERD (early-responsive to dehydration stress) family protein(AT4G15430)","AT4G15430"
"16104","AT4G15770",9547,0.21,"RNA binding protein(AT4G15770)","AT4G15770"
"16108","AT4G15802",9567,0.21,"heat shock factor binding protein(HSBP)","HSBP"
"16151","AT4G16210",9819,0.21,"enoyl-CoA hydratase/isomerase A(ECHIA)","ECHIA"
"16435","AT4G18975",6970,0.21,"Pentatricopeptide repeat (PPR) superfamily protein(AT4G18975)","AT4G18975"
"16607","AT4G21120",9522,0.21,"amino acid transporter 1(AAT1)","AAT1"
"16608","AT4G21140",9524,0.21,"copper ion-binding protein(AT4G21140)","AT4G21140"
"16626","AT4G21323",9819,0.21,"Subtilase family protein(AT4G21323)","AT4G21323"
"16649","AT4G21540",9557,0.21,"sphingosine kinase 1(SPHK1)","SPHK1"
"16754","AT4G22530",9568,0.21,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G22530)","AT4G22530"
